+4.7000000000e-005 +2.9103616683e-001 +2.9103616683e-001 -6.0169043583e-001 -1.7511367806e-001 +2.9103616683e-001 +6.0169043583e-001 +1.7511367806e-001
+4.8000000000e-005 +2.9704158158e-001 +2.9704158158e-001 -6.0054147488e-001 -1.7838578950e-001 +2.9704158158e-001 +6.0054147488e-001 +1.7838578950e-001
+4.9000000000e-005 +3.0303526963e-001 +3.0303526963e-001 -5.9936880557e-001 -1.8162988761e-001 +3.0303526963e-001 +5.9936880557e-001 +1.8162988761e-001
+5.0000000000e-005 +3.0901699437e-001 +3.0901699437e-001 -5.9817247422e-001 -1.8484546010e-001 +3.0901699437e-001 +5.9817247422e-001 +1.8484546010e-001
+5.1000000000e-005 +3.1498651966e-001 +3.1498651966e-001 -5.9695252804e-001 -1.8803199921e-001 +3.1498651966e-001 +5.9695252804e-001 +1.8803199921e-001
+5.2000000000e-005 +3.2094360981e-001 +3.2094360981e-001 -5.9570901519e-001 -1.9118900173e-001 +3.2094360981e-001 +5.9570901519e-001 +1.9118900173e-001
+5.3000000000e-005 +3.2688802965e-001 +3.2688802965e-001 -5.9444198477e-001 -1.9431596915e-001 +3.2688802965e-001 +5.9444198477e-001 +1.9431596915e-001
+5.4000000000e-005 +3.3281954452e-001 +3.3281954452e-001 -5.9315148680e-001 -1.9741240767e-001 +3.3281954452e-001 +5.9315148680e-001 +1.9741240767e-001
+5.5000000000e-005 +3.3873792025e-001 +3.3873792025e-001 -5.9183757223e-001 -2.0047782834e-001 +3.3873792025e-001 +5.9183757223e-001 +2.0047782834e-001
+5.6000000000e-005 +3.4464292317e-001 +3.4464292317e-001 -5.9050029292e-001 -2.0351174709e-001 +3.4464292317e-001 +5.9050029292e-001 +2.0351174709e-001
+5.7000000000e-005 +3.5053432019e-001 +3.5053432019e-001 -5.8913970167e-001 -2.0651368482e-001 +3.5053432019e-001 +5.8913970167e-001 +2.0651368482e-001
+5.8000000000e-005 +3.5641187871e-001 +3.5641187871e-001 -5.8775585220e-001 -2.0948316751e-001 +3.5641187871e-001 +5.8775585220e-001 +2.0948316751e-001
+5.9000000000e-005 +3.6227536670e-001 +3.6227536670e-001 -5.8634879913e-001 -2.1241972622e-001 +3.6227536670e-001 +5.8634879913e-001 +2.1241972622e-001
+6.0000000000e-005 +3.6812455268e-001 +3.6812455268e-001 -5.8491859801e-001 -2.1532289725e-001 +3.6812455268e-001 +5.8491859801e-001 +2.1532289725e-001
+6.1000000000e-005 +3.7395920574e-001 +3.7395920574e-001 -5.8346530531e-001 -2.1819222215e-001 +3.7395920574e-001 +5.8346530531e-001 +2.1819222215e-001
+6.2000000000e-005 +3.7977909552e-001 +3.7977909552e-001 -5.8198897840e-001 -2.2102724782e-001 +3.7977909552e-001 +5.8198897840e-001 +2.2102724782e-001
+6.3000000000e-005 +3.8558399228e-001 +3.8558399228e-001 -5.8048967556e-001 -2.2382752658e-001 +3.8558399228e-001 +5.8048967556e-001 +2.2382752658e-001
