"Rload=2k"
+1.0000000000e+001 +5.7575757576e-001 +9.9068870278e+000 +1.0000000000e+001 -4.6556486089e-005 -4.6556486089e-004 +5.7575757576e-001 -4.6556486089e-007 -2.6805249566e-007 +9.3112972178e-002 +4.6556486089e-005 +4.3350127939e-006 +5.7575757576e-001 -9.3311294521e+000 +9.9068870278e+000 -4.7022050950e-005 +4.6556486089e-005 +4.6556486089e-007
+1.0000000000e+001 +5.7878787879e-001 +9.8953071458e+000 +1.0000000000e+001 -5.2346427101e-005 -5.2346427101e-004 +5.7878787879e-001 -5.2346427101e-007 -3.0297477504e-007 +1.0469285420e-001 +5.2346427101e-005 +5.4802968604e-006 +5.7878787879e-001 -9.3165192670e+000 +9.8953071458e+000 -5.2869891372e-005 +5.2346427101e-005 +5.2346427101e-007
+1.0000000000e+001 +5.8181818182e-001 +9.8822871458e+000 +1.0000000000e+001 -5.8856427115e-005 -5.8856427115e-004 +5.8181818182e-001 -5.8856427115e-007 -3.4243739412e-007 +1.1771285423e-001 +5.8856427115e-005 +6.9281580254e-006 +5.8181818182e-001 -9.3004689640e+000 +9.8822871458e+000 -5.9444991386e-005 +5.8856427115e-005 +5.8856427115e-007
+1.0000000000e+001 +5.8484848485e-001 +9.8676479292e+000 +1.0000000000e+001 -6.6176035396e-005 -6.6176035396e-004 +5.8484848485e-001 -6.6176035396e-007 -3.8702954035e-007 +1.3235207079e-001 +6.6176035396e-005 +8.7585353216e-006 +5.8484848485e-001 -9.2827994444e+000 +9.8676479292e+000 -6.6837795750e-005 +6.6176035396e-005 +6.6176035396e-007
+1.0000000000e+001 +5.8787878788e-001 +9.8511881242e+000 +1.0000000000e+001 -7.4405937898e-005 -7.4405937898e-004 +5.8787878788e-001 -7.4405937898e-007 -4.3741672582e-007 +1.4881187580e-001 +7.4405937898e-005 +1.1072487189e-005 +5.8787878788e-001 -9.2633093363e+000 +9.8511881242e+000 -7.5149997277e-005 +7.4405937898e-005 +7.4405937898e-007
+1.0000000000e+001 +5.9090909091e-001 +9.8326813155e+000 +1.0000000000e+001 -8.3659342257e-005 -8.3659342257e-004 +5.9090909091e-001 -8.3659342257e-007 -4.9435065879e-007 +1.6731868451e-001 +8.3659342257e-005 +1.3997771094e-005 +5.9090909091e-001 -9.2417722246e+000 +9.8326813155e+000 -8.4495935680e-005 +8.3659342257e-005 +8.3659342257e-007
+1.0000000000e+001 +5.9393939394e-001 +9.8118729299e+000 +1.0000000000e+001 -9.4063535043e-005 -9.4063535043e-004 +5.9393939394e-001 -9.4063535043e-007 -5.5868038995e-007 +1.8812707009e-001 +9.4063535043e-005 +1.7695897250e-005 +5.9393939394e-001 -9.2179335360e+000 +9.8118729299e+000 -9.5004170394e-005 +9.4063535043e-005 +9.4063535043e-007
+1.0000000000e+001 +5.9696969697e-001 +9.7884767347e+000 +1.0000000000e+001 -1.0576163267e-004 -1.0576163267e-003 +5.9696969697e-001 -1.0576163267e-006 -6.3136489803e-007 +2.1152326533e-001 +1.0576163267e-004 +2.2371045888e-005 +5.9696969697e-001 -9.1915070377e+000 +9.7884767347e+000 -1.0681924899e-004 +1.0576163267e-004 +1.0576163267e-006
+1.0000000000e+001 +6.0000000000e-001 +9.7621708999e+000 +1.0000000000e+001 -1.1891455003e-004 -1.1891455003e-003 +6.0000000000e-001 -1.1891455003e-006 -7.1348730019e-007 +2.3782910006e-001 +1.1891455003e-004 +2.8281340418e-005 +6.0000000000e-001 -9.1621708999e+000 +9.7621708999e+000 -1.2010369553e-004 +1.1891455003e-004 +1.1891455003e-006
+1.0000000000e+001 +6.0303030303e-001 +9.7325935719e+000 +1.0000000000e+001 -1.3370321404e-004 -1.3370321404e-003 +6.0303030303e-001 -1.3370321404e-006 -8.0627089676e-007 +2.6740642807e-001 +1.3370321404e-004 +3.5753098887e-005 +6.0303030303e-001 -9.1295632689e+000 +9.7325935719e+000 -1.3504024618e-004 +1.3370321404e-004 +1.3370321404e-006
