"C1=1μ"
+4.5000000000e-005 +2.7899110604e-001 +6.2607987496e-003 +2.7899110604e-001 -2.7273030729e-004 +2.7273030729e-001 +2.7273030729e-004 +6.2607987496e-003 +2.6646950854e-004 +6.2607987496e-003 +6.2607987496e-006
+4.6000000000e-005 +2.8501926247e-001 +6.5327525071e-003 +2.8501926247e-001 -2.7848650996e-004 +2.7848650996e-001 +2.7848650996e-004 +6.5327525071e-003 +2.7195375746e-004 +6.5327525071e-003 +6.5327525071e-006
+4.7000000000e-005 +2.9103616683e-001 +6.8101683372e-003 +2.9103616683e-001 -2.8422599849e-004 +2.8422599849e-001 +2.8422599849e-004 +6.8101683372e-003 +2.7741583015e-004 +6.8101683372e-003 +6.8101683372e-006
+4.8000000000e-005 +2.9704158158e-001 +7.0930238711e-003 +2.9704158158e-001 -2.8994855771e-004 +2.8994855771e-001 +2.8994855771e-004 +7.0930238711e-003 +2.8285553383e-004 +7.0930238711e-003 +7.0930238711e-006
+4.9000000000e-005 +3.0303526963e-001 +7.3812965476e-003 +3.0303526963e-001 -2.9565397309e-004 +2.9565397309e-001 +2.9565397309e-004 +7.3812965476e-003 +2.8827267654e-004 +7.3812965476e-003 +7.3812965476e-006
+5.0000000000e-005 +3.0901699437e-001 +7.6749636147e-003 +3.0901699437e-001 -3.0134203076e-004 +3.0134203076e-001 +3.0134203076e-004 +7.6749636147e-003 +2.9366706715e-004 +7.6749636147e-003 +7.6749636147e-006
+5.1000000000e-005 +3.1498651966e-001 +7.9740021301e-003 +3.1498651966e-001 -3.0701251753e-004 +3.0701251753e-001 +3.0701251753e-004 +7.9740021301e-003 +2.9903851540e-004 +7.9740021301e-003 +7.9740021301e-006
+5.2000000000e-005 +3.2094360981e-001 +8.2783889620e-003 +3.2094360981e-001 -3.1266522085e-004 +3.1266522085e-001 +3.1266522085e-004 +8.2783889620e-003 +3.0438683188e-004 +8.2783889620e-003 +8.2783889620e-006
+5.3000000000e-005 +3.2688802965e-001 +8.5881007901e-003 +3.2688802965e-001 -3.1829992886e-004 +3.1829992886e-001 +3.1829992886e-004 +8.5881007901e-003 +3.0971182807e-004 +8.5881007901e-003 +8.5881007901e-006
+5.4000000000e-005 +3.3281954452e-001 +8.9031141064e-003 +3.3281954452e-001 -3.2391643042e-004 +3.2391643042e-001 +3.2391643042e-004 +8.9031141064e-003 +3.1501331631e-004 +8.9031141064e-003 +8.9031141064e-006
+5.5000000000e-005 +3.3873792025e-001 +9.2234052162e-003 +3.3873792025e-001 -3.2951451503e-004 +3.2951451503e-001 +3.2951451503e-004 +9.2234052162e-003 +3.2029110981e-004 +9.2234052162e-003 +9.2234052162e-006
